MODELYEAR,MAKE,MODEL,VEHICLECLASS,ENGINESIZE,CYLINDERS,TRANSMISSION,FUELTYPE,FUELCONSUMPTION_CITY,FUELCONSUMPTION_HWY,FUELCONSUMPTION_COMB,FUELCONSUMPTION_COMB_MPG,CO2EMISSIONS
2014,ACURA,ILX,COMPACT,2.0,4,AS5,Z,9.9,6.7,8.5,33,196
2014,ACURA,ILX,COMPACT,2.4,4,M6,Z,11.2,7.7,9.6,29,221
2014,ACURA,ILX HYBRID,COMPACT,1.5,4,AV7,Z,6.0,5.8,5.9,48,136
2014,ACURA,MDX 4WD,SUV - SMALL,3.5,6,AS6,Z,12.7,9.1,11.1,25,255
2014,ACURA,RDX AWD,SUV - SMALL,3.5,6,AS6,Z,12.1,8.7,10.6,27,244
2014,ACURA,RLX,MID-SIZE,3.5,6,AS6,Z,11.9,7.7,10.0,28,230
2014,ACURA,TL,MID-SIZE,3.5,6,AS6,Z,11.8,8.1,10.1,28,232
2014,ACURA,TL AWD,MID-SIZE,3.7,6,AS6,Z,12.8,9.0,11.1,25,255
2014,ACURA,TSX,COMPACT,2.4,4,AS5,Z,10.6,7.5,9.2,31,212
2014,ASTON MARTIN,DB9,MINICOMPACT,5.9,12,A6,Z,18.0,12.6,15.6,18,359
2014,ASTON MARTIN,RAPIDE,SUBCOMPACT,5.9,12,A6,Z,18.0,12.6,15.6,18,359
2014,AUDI,A4,COMPACT,2.0,4,AV8,Z,9.9,7.4,8.8,32,202
2014,AUDI,A4 QUATTRO,COMPACT,2.0,4,AS8,Z,11.5,7.9,9.9,29,228
2014,AUDI,A5 CABRIOLET,SUBCOMPACT,2.0,4,AS8,Z,11.5,8.1,10.0,28,230
2014,AUDI,A6 QUATTRO,MID-SIZE,2.0,4,AS8,Z,12.0,8.1,10.2,28,235
2014,AUDI,A6 QUATTRO,MID-SIZE,3.0,6,AS8,Z,13.2,8.8,11.2,25,258
2014,AUDI,A7 QUATTRO,MID-SIZE,3.0,6,AS8,Z,13.2,8.8,11.2,25,258
2014,AUDI,A8,MID-SIZE,3.0,6,AS8,Z,13.1,8.8,11.2,25,258
2014,AUDI,A8L,FULL-SIZE,3.0,6,AS8,Z,13.1,8.8,11.2,25,258
2014,AUDI,Q5,SUV - SMALL,2.0,4,AS8,Z,12.0,8.5,10.4,27,239
2014,BMW,320i,COMPACT,2.0,4,AS8,Z,10.2,6.5,8.5,33,196
2014,BMW,328i,COMPACT,2.0,4,AS8,Z,10.4,6.7,8.7,32,200
2014,BMW,335i,COMPACT,3.0,6,AS8,Z,11.9,7.7,10.0,28,230
2014,BMW,528i,MID-SIZE,2.0,4,AS8,Z,10.6,6.9,8.9,32,205
2014,BMW,535i,MID-SIZE,3.0,6,AS8,Z,12.0,7.9,10.2,28,235
2014,CHEVROLET,CAMARO,COMPACT,3.6,6,AS6,X,13.8,8.8,11.5,25,264
2014,CHEVROLET,CORVETTE,TWO-SEATER,6.2,8,M7,Z,14.0,8.2,11.4,25,262
2014,FORD,FUSION,MID-SIZE,1.5,4,AS6,X,10.0,6.5,8.4,34,193
2014,HONDA,CIVIC,COMPACT,1.8,4,M5,X,8.6,6.5,7.7,37,177
2014,TOYOTA,COROLLA,COMPACT,1.8,4,CVT,X,7.9,6.0,7.0,40,161
