horsepower,weight,displacement,acceleration,mpg
130,3504,307.0,12.0,18.0
165,3693,350.0,11.5,15.0
150,3436,318.0,11.0,18.0
150,3433,304.0,12.0,16.0
140,3449,302.0,10.5,17.0
198,4341,429.0,10.0,15.0
220,4354,454.0,9.0,14.0
215,4312,440.0,8.5,14.0
225,4425,455.0,10.0,14.0
190,3850,390.0,8.5,15.0
170,3563,383.0,10.0,15.0
160,3609,340.0,8.0,14.0
95,2372,113.0,15.0,24.0
95,2833,198.0,15.5,22.0
97,2774,199.0,15.5,18.0
85,2587,200.0,16.0,21.0
88,2130,97.0,14.5,27.0
46,1835,97.0,20.5,26.0
87,2672,140.0,17.5,25.0
90,2430,98.0,14.5,24.0
110,2220,121.0,14.0,25.0
107,2330,110.0,13.5,24.0
90,2890,225.0,17.3,19.0
145,3425,318.0,13.2,15.0
130,3570,302.0,12.8,16.0
110,3160,250.0,15.8,17.0
105,3380,250.0,15.8,16.0
100,3270,250.0,15.5,16.0
98,2945,231.0,16.3,18.0
180,4245,400.0,14.5,13.0
